date,day,month,year,quarter,day_of_week,week_of_year,month_name
2024-09-01,1,9,2024,3,Sunday,35,September
2024-09-02,2,9,2024,3,Monday,36,September
2024-09-03,3,9,2024,3,Tuesday,36,September
2024-09-04,4,9,2024,3,Wednesday,36,September
2024-09-05,5,9,2024,3,Thursday,36,September
2024-09-06,6,9,2024,3,Friday,36,September
2024-09-07,7,9,2024,3,Saturday,36,September
2024-09-08,8,9,2024,3,Sunday,36,September
2024-09-09,9,9,2024,3,Monday,37,September
2024-09-10,10,9,2024,3,Tuesday,37,September
2024-09-11,11,9,2024,3,Wednesday,37,September
2024-09-12,12,9,2024,3,Thursday,37,September
2024-09-13,13,9,2024,3,Friday,37,September
2024-09-14,14,9,2024,3,Saturday,37,September
2024-09-15,15,9,2024,3,Sunday,37,September
2024-09-16,16,9,2024,3,Monday,38,September
2024-09-17,17,9,2024,3,Tuesday,38,September
2024-09-18,18,9,2024,3,Wednesday,38,September
2024-09-19,19,9,2024,3,Thursday,38,September
2024-09-20,20,9,2024,3,Friday,38,September
2024-09-21,21,9,2024,3,Saturday,38,September
2024-09-22,22,9,2024,3,Sunday,38,September
2024-09-23,23,9,2024,3,Monday,39,September
2024-09-24,24,9,2024,3,Tuesday,39,September
2024-09-25,25,9,2024,3,Wednesday,39,September
2024-09-26,26,9,2024,3,Thursday,39,September
2024-09-27,27,9,2024,3,Friday,39,September
2024-09-28,28,9,2024,3,Saturday,39,September
2024-09-29,29,9,2024,3,Sunday,39,September
2024-09-30,30,9,2024,3,Monday,40,September
2024-10-01,1,10,2024,4,Tuesday,40,October
2024-10-02,2,10,2024,4,Wednesday,40,October
2024-10-03,3,10,2024,4,Thursday,40,October
2024-10-04,4,10,2024,4,Friday,40,October
2024-10-05,5,10,2024,4,Saturday,40,October
2024-10-06,6,10,2024,4,Sunday,40,October
2024-10-07,7,10,2024,4,Monday,41,October
2024-10-08,8,10,2024,4,Tuesday,41,October
2024-10-09,9,10,2024,4,Wednesday,41,October
2024-10-10,10,10,2024,4,Thursday,41,October
2024-10-11,11,10,2024,4,Friday,41,October
2024-10-12,12,10,2024,4,Saturday,41,October
2024-10-13,13,10,2024,4,Sunday,41,October
2024-10-14,14,10,2024,4,Monday,42,October
2024-10-15,15,10,2024,4,Tuesday,42,October
2024-10-16,16,10,2024,4,Wednesday,42,October
2024-10-17,17,10,2024,4,Thursday,42,October
2024-10-18,18,10,2024,4,Friday,42,October
2024-10-19,19,10,2024,4,Saturday,42,October
2024-10-20,20,10,2024,4,Sunday,42,October
2024-10-21,21,10,2024,4,Monday,43,October
2024-10-22,22,10,2024,4,Tuesday,43,October
2024-10-23,23,10,2024,4,Wednesday,43,October
2024-10-24,24,10,2024,4,Thursday,43,October
2024-10-25,25,10,2024,4,Friday,43,October
2024-10-26,26,10,2024,4,Saturday,43,October
2024-10-27,27,10,2024,4,Sunday,43,October
2024-10-28,28,10,2024,4,Monday,44,October
2024-10-29,29,10,2024,4,Tuesday,44,October
2024-10-30,30,10,2024,4,Wednesday,44,October
2024-10-31,31,10,2024,4,Thursday,44,October
2024-11-01,1,11,2024,4,Friday,44,November
2024-11-02,2,11,2024,4,Saturday,44,November
2024-11-03,3,11,2024,4,Sunday,44,November
2024-11-04,4,11,2024,4,Monday,45,November
2024-11-05,5,11,2024,4,Tuesday,45,November
2024-11-06,6,11,2024,4,Wednesday,45,November
2024-11-07,7,11,2024,4,Thursday,45,November
2024-11-08,8,11,2024,4,Friday,45,November
2024-11-09,9,11,2024,4,Saturday,45,November
2024-11-10,10,11,2024,4,Sunday,45,November
2024-11-11,11,11,2024,4,Monday,46,November
2024-11-12,12,11,2024,4,Tuesday,46,November
2024-11-13,13,11,2024,4,Wednesday,46,November
2024-11-14,14,11,2024,4,Thursday,46,November
2024-11-15,15,11,2024,4,Friday,46,November
2024-11-16,16,11,2024,4,Saturday,46,November
2024-11-17,17,11,2024,4,Sunday,46,November
2024-11-18,18,11,2024,4,Monday,47,November
2024-11-19,19,11,2024,4,Tuesday,47,November
2024-11-20,20,11,2024,4,Wednesday,47,November
2024-11-21,21,11,2024,4,Thursday,47,November
2024-11-22,22,11,2024,4,Friday,47,November
2024-11-23,23,11,2024,4,Saturday,47,November
2024-11-24,24,11,2024,4,Sunday,47,November
2024-11-25,25,11,2024,4,Monday,48,November
2024-11-26,26,11,2024,4,Tuesday,48,November
2024-11-27,27,11,2024,4,Wednesday,48,November
2024-11-28,28,11,2024,4,Thursday,48,November
2024-11-29,29,11,2024,4,Friday,48,November
2024-11-30,30,11,2024,4,Saturday,48,November
2024-12-01,1,12,2024,4,Sunday,48,December
2024-12-02,2,12,2024,4,Monday,49,December
2024-12-03,3,12,2024,4,Tuesday,49,December
2024-12-04,4,12,2024,4,Wednesday,49,December
2024-12-05,5,12,2024,4,Thursday,49,December
2024-12-06,6,12,2024,4,Friday,49,December
2024-12-07,7,12,2024,4,Saturday,49,December
2024-12-08,8,12,2024,4,Sunday,49,December
2024-12-09,9,12,2024,4,Monday,50,December
2024-12-10,10,12,2024,4,Tuesday,50,December
2024-12-11,11,12,2024,4,Wednesday,50,December
2024-12-12,12,12,2024,4,Thursday,50,December
2024-12-13,13,12,2024,4,Friday,50,December
2024-12-14,14,12,2024,4,Saturday,50,December
2024-12-15,15,12,2024,4,Sunday,50,December
2024-12-16,16,12,2024,4,Monday,51,December
2024-12-17,17,12,2024,4,Tuesday,51,December
2024-12-18,18,12,2024,4,Wednesday,51,December
2024-12-19,19,12,2024,4,Thursday,51,December
2024-12-20,20,12,2024,4,Friday,51,December
2024-12-21,21,12,2024,4,Saturday,51,December
2024-12-22,22,12,2024,4,Sunday,51,December
2024-12-23,23,12,2024,4,Monday,52,December
2024-12-24,24,12,2024,4,Tuesday,52,December
2024-12-25,25,12,2024,4,Wednesday,52,December
2024-12-26,26,12,2024,4,Thursday,52,December
2024-12-27,27,12,2024,4,Friday,52,December
2024-12-28,28,12,2024,4,Saturday,52,December
2024-12-29,29,12,2024,4,Sunday,52,December
2024-12-30,30,12,2024,4,Monday,1,December
2024-12-31,31,12,2024,4,Tuesday,1,December
